Version,Updated,TestCaseID,Group,Scenario,OS,Environment,Priority,Owner,TestDataSetup,ExpectedResult,PassFail,EvidenceLink,Remark
v1.1,2026-04-17,CORE-01,Core checks,Inventory and scope readiness,Windows/Linux,BareMetal/VMwareVM,Critical,,ระบุเครื่องเป้าหมาย + UEFI + Secure Boot + OS type,Inventory ครบและพร้อมเริ่ม rollout,,,
v1.1,2026-04-17,CORE-02,Core checks,Platform readiness check,Windows/Linux,VMwareVM,Critical,,ตรวจ ESXi build + VM compatibility + datastore/snapshot health,ไม่พบ blocker ด้าน platform,,,
v1.1,2026-04-17,CORE-03,Core checks,Windows CA2023 verification,Windows,BareMetal/VMwareVM,Critical,,รัน verify command หลัง update,SecureBoot=True + พบ CA2023 + UEFICA2023Status expected,,,
v1.1,2026-04-17,CORE-04,Core checks,Linux Secure Boot and boot-chain verification,Linux,BareMetal/VMwareVM,Critical,,ตรวจ mokutil + shim/grub package state,Secure Boot enabled และ boot-chain current จาก supported repo,,,
v1.1,2026-04-17,CORE-05,Core checks,Reboot stability >= 2 rounds,Windows/Linux,BareMetal/VMwareVM,Critical,,warm/cold reboot อย่างน้อย 2 รอบ,ผล verify คงที่ไม่เกิด drift,,,
v1.1,2026-04-17,CORE-06,Core checks,Classification and evidence quality,Windows/Linux,BareMetal/VMwareVM,Critical,,จัดสถานะ + แนบหลักฐาน,Map สถานะถูกต้อง + หลักฐานครบ audit,,,
v1.1,2026-04-17,COMBO-PHY-01,Combination checks,Physical firmware old + OS old,Windows,BareMetal,High,,BIOS/UEFI เก่า + Windows รุ่นเก่าใน scope,ผ่านได้เมื่อ remediation ครบหรือระบุเป็น exception ชัดเจน,,,
v1.1,2026-04-17,COMBO-PHY-02,Combination checks,Physical firmware old + OS old,Linux,BareMetal,High,,firmware เก่า + Linux boot-chain เก่า,หาก fail ต้องเข้ากระบวนการ recovery path,,,
v1.1,2026-04-17,COMBO-PHY-03,Combination checks,Physical firmware new + OS old,Windows/Linux,BareMetal,High,,firmware ใหม่ + OS เก่า,ต้องผ่าน verify และ reboot stability,,,
v1.1,2026-04-17,COMBO-PHY-04,Combination checks,Physical firmware old + OS new,Windows/Linux,BareMetal,High,,firmware เก่า + OS ใหม่,ต้องพิสูจน์ว่า firmware ไม่ทำให้ verify drift,,,
v1.1,2026-04-17,COMBO-PHY-05,Combination checks,Physical firmware new + OS new (golden path),Windows/Linux,BareMetal,Critical,,baseline ใหม่ทั้งหมด,ควรผ่านครบและใช้เป็น benchmark,,,
v1.1,2026-04-17,COMBO-VM-01,Combination checks,VM on ESXi 7,Windows/Linux,VMwareVM,Critical,,VM EFI + Secure Boot บน ESXi 7,ผ่านได้แต่ต้องเน้นตรวจ persistence,,,
v1.1,2026-04-17,COMBO-VM-02,Combination checks,VM on ESXi 8,Windows/Linux,VMwareVM,Critical,,VM EFI + Secure Boot บน ESXi 8,ควรเสถียรกว่า ESXi 7 และผ่าน verify ซ้ำ,,,
v1.1,2026-04-17,COMBO-VM-03,Combination checks,VM created on ESXi 7 then host upgraded to ESXi 8,Windows/Linux,VMwareVM,Critical,,VM legacy ย้ายมา host ใหม่,ต้องไม่เกิด legacy NVRAM drift หลัง reboot,,,
v1.1,2026-04-17,COMBO-VM-04,Combination checks,Create template on ESXi 8.0.3 then deploy on ESXi 7,Windows/Linux,VMwareVM,High,,Template crossover 8.0.3 -> 7,ต้องผ่าน compatibility + verify + reboot stability,,,
v1.1,2026-04-17,RISK-01,Risk and negative checks,NVRAM persistence test,Windows/Linux,VMwareVM,Critical,,ทดสอบ warm/cold reboot ต่อเนื่อง,ค่า Secure Boot related state ไม่หาย,,,
v1.1,2026-04-17,RISK-02,Risk and negative checks,Revert snapshot then check old CA/state rollback,Windows/Linux,VMwareVM,Critical,,snapshot ก่อน rollout แล้ว revert,ต้องตรวจพบ rollback ได้และจัดสถานะตรงจริง,,,
v1.1,2026-04-17,RISK-03,Risk and negative checks,Disable Secure Boot intentionally,Windows/Linux,BareMetal/VMwareVM,Critical,,ปิด Secure Boot แล้วรัน validation,ต้องถูกจัด NON_COMPLIANT ทันที,,,
v1.1,2026-04-17,RISK-04,Risk and negative checks,Missing telemetry or incomplete evidence,Windows/Linux,BareMetal/VMwareVM,High,,ตัดข้อมูลบางส่วนหรือหลักฐานไม่ครบ,ต้องถูกจัด UNKNOWN จนกว่าจะเก็บข้อมูลครบ,,,
